Number of edges,Number of vertices,Number of algocomparisons,Number of fixingcomparisons,graph creating time,algorithm time
5,4,8,19,0.000041,0.000032
5,20,38,47,0.000011,0.00002
5,9,52,66,0.000006,0.000014
10,9,70,167,0.000005,0.000022
10,90,205,352,0.000036,0.000025
10,47,274,497,0.000023,0.000023
15,14,302,744,0.000032,0.000033
15,210,617,1326,0.000097,0.000042
15,104,781,1803,0.000088,0.000063
20,19,819,2267,0.000017,0.000051
20,380,1389,3170,0.000161,0.000058
20,183,1663,3947,0.00008,0.000055
25,24,1711,4688,0.000022,0.000056
25,600,2611,6325,0.000248,0.00008
25,308,3082,7822,0.000136,0.000054
30,29,3140,8895,0.000075,0.000041
30,870,4445,12095,0.000146,0.000059
30,431,5088,14678,0.000071,0.000056
35,34,5156,16188,0.000019,0.000044
35,1190,6941,19995,0.000212,0.0001
35,575,7797,23733,0.000148,0.000074
40,39,7875,25719,0.00001,0.000048
40,1560,10215,31853,0.000279,0.000113
40,790,11400,36794,0.00019,0.000092
45,44,11488,39304,0.000015,0.000062
45,1980,14458,46812,0.000332,0.000112
45,982,15925,52857,0.000166,0.000121
50,49,16023,55999,0.000015,0.000074
50,2450,19698,65363,0.00041,0.000144
50,1266,21608,74069,0.000212,0.00015
200,199,22006,125824,0.000119,0.000602
200,39800,81706,302719,0.006952,0.001496
200,19779,141102,652396,0.00319,0.001728
300,299,171414,934387,0.000223,0.001035
300,89700,305964,1339506,0.014356,0.003293
300,44880,508105,2585774,0.007316,0.003747
400,399,508903,2794246,0.000338,0.001728
400,159600,748303,3569321,0.025502,0.005879
400,79718,987097,5084808,0.013004,0.006729
500,499,1108169,6168040,0.000488,0.002114
500,249500,1482419,7435962,0.039682,0.009206
500,124621,1669406,8649635,0.020247,0.009838
600,599,2420952,13094406,0.00066,0.003045
600,359400,2960052,14935547,0.057531,0.013413
600,179405,3229053,16741199,0.028917,0.014458
700,699,3230451,17380956,0.000803,0.004175
700,489300,3964401,19844285,0.078509,0.017811
700,244528,4330911,22232443,0.039409,0.019236
800,799,4332509,23066575,0.001093,0.005366
800,639200,5291309,26320024,0.101648,0.023263
800,318790,5769559,29560670,0.052038,0.026162
900,899,5771357,30617751,0.00162,0.007435
900,809100,6985007,34734071,0.130405,0.029544
900,404554,7591789,38781743,0.065349,0.032843
1000,999,7593787,40086254,0.001934,0.009088
1000,999000,9092287,45116980,0.161189,0.036113
1000,499081,9841112,50152445,0.080868,0.040328
